time	V(pay)/(D(V(Vind,Vtr))/D(time)+10/280e-9*V(Vind,Vtr))	V(vtr)
2.800364245271360e-009	-2.764422e-010	9.464100e+001
2.871428612136758e-009	-2.218551e-010	9.178161e+001
2.960470400759353e-009	-1.897064e-010	8.741969e+001
3.042181257276776e-009	-1.670085e-010	8.278059e+001
3.122186775161136e-009	-1.534049e-010	7.773640e+001
3.198786834785221e-009	-1.453127e-010	7.257224e+001
3.273254188465197e-009	-1.409878e-010	6.734052e+001
3.346832488615124e-009	-1.399486e-010	6.207148e+001
3.420693338591137e-009	-1.420709e-010	5.680582e+001
3.474971424239093e-009	-1.521684e-010	5.305729e+001
3.534207413642502e-009	-1.755354e-010	4.934734e+001
3.595649606677664e-009	-2.064250e-010	4.618289e+001
3.633292494154180e-009	-2.425740e-010	4.454901e+001
3.676150784664708e-009	-2.655746e-010	4.286361e+001
3.727386991480551e-009	-2.843639e-010	4.100446e+001
3.823055557414936e-009	-2.902964e-010	3.768897e+001
4.014392689283705e-009	-2.897067e-010	3.109302e+001
4.199345415414506e-009	-2.924093e-010	2.469174e+001
4.479844920542913e-009	-2.977931e-010	1.514893e+001
4.618078116952685e-009	-3.162181e-010	1.067378e+001
4.723533607180456e-009	-3.335232e-010	7.455321e+000
4.789089019544459e-009	-3.546478e-010	5.551954e+000
4.868889175271993e-009	-3.747415e-010	3.356290e+000
4.930600067417184e-009	-4.047426e-010	1.777497e+000
4.960800890024207e-009	-4.566465e-010	1.087401e+000
4.975663260483808e-009	-5.199772e-010	7.912002e-001
4.980956499729978e-009	-6.361133e-010	6.998814e-001
4.989413521507661e-009	-7.261157e-010	5.750224e-001
5.000000000000000e-009	-7.853682e-010	4.376089e-001
5.001058647849234e-009	-1.011803e-009	4.267679e-001
5.003175943547702e-009	-1.126216e-009	4.062176e-001
5.007410534944638e-009	-1.366317e-009	3.703661e-001
5.015879717738509e-009	-1.713402e-009	3.132307e-001
5.024235041458381e-009	-2.391569e-009	2.721680e-001
5.031025968206092e-009	-3.663465e-009	2.498976e-001
5.037367472958273e-009	-5.671493e-009	2.363205e-001
5.043876789537184e-009	-8.836239e-009	2.272404e-001
